"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bangladesh","BGD","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.79999995231628","1.79999995231628","1","","","0.899999976158142","","1.89999997615814","","","","","2.5","","","","3.29999995231628","","","4.30000019073486","","4.30000019073486","","","","5","","","","",
"Bulgaria","BGR","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3999996185303","20","15.6999998092651","13.5","13.6999998092651","12.1999998092651","14.1000003814697","16.2000007629395","19.8999996185303","18.1000003814697","13.6999998092651","12","10.1000003814697","8.89999961853027","6.90000009536743","5.59999990463257","6.80000019073486","10.1999998092651","11.3000001907349","12.3000001907349","",
"Bahrain","BHR","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.30000019073486","","","","","","","","","","5.5","","","9","","","","","","1.10000002384186","","","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1999998092651","","11","11.6999998092651","","12.1999998092651","14.6999998092651","13","13.3999996185303","10.8000001907349","11.5","9.80000019073486","7.59999990463257","7.40000009536743","","6.90000009536743","9","10.8000001907349","10.3000001907349","10.1999998092651","7.59999990463257","7.90000009536743","8.69999980926514","14.1999998092651","","13.6999998092651","14","",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6000003814697","","","","","","","","","","","","","","","31.7999992370605","29.7000007629395","23.8999996185303","24.1000003814697","27.2000007629395","27.6000003814697","28.1000003814697","",
"Belarus","BLR","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.09999990463257","","","","",
"Belize","BLZ","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.90000009536743","","9.80000019073486","11.1000003814697","12.5","13.8000001907349","12.6999998092651","14.3000001907349","12.8000001907349","","9.10000038146973","10","","","11","9.39999961853027","8.5","8.19999980926514","","","","","",
"Bermuda","BMU","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","2.70000004768372","","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","5.80000019073486","9.69999980926514","11","14.1999998092651","15.1000003814697","18.6000003814697","20","20.5","18","20","19","6.59999990463257","5.5","6","3.09999990463257","3.59999990463257","5.19999980926514","3.70000004768372","","4.30000019073486","4.80000019073486","5.40000009536743","5.40000009536743","","4.30000019073486","5.40000009536743","5.30000019073486","5.19999980926514","2.90000009536743","3.40000009536743","","","","",
"Brazil","BRA","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","4.30000019073486","3.90000009536743","4.90000009536743","4.30000019073486","3.40000009536743","2.40000009536743","3.59999990463257","3.79999995231628","3","3.70000004768372","","6.40000009536743","6","","6","6.80000019073486","7.69999980926514","8.89999961853027","9.60000038146973","","9.30000019073486","9.10000038146973","9.69999980926514","8.89999961853027","9.30000019073486","8.39999961853027","8.10000038146973","7.09999990463257","8.30000019073486","","6.69999980926514","","",
